Unnamed: 0,db_id,query,question,query_toks,query_toks_no_value,question_toks,context
4868,school_player,SELECT avg(Enrollment) FROM school,What is the average enrollment of schools?,['SELECT' 'avg' '(' 'Enrollment' ')' 'FROM' 'school'],['select' 'avg' '(' 'enrollment' ')' 'from' 'school'],['What' 'is' 'the' 'average' 'enrollment' 'of' 'schools' '?'],"['CREATE TABLE ""school"" ( ""School_ID"" int, ""School"" text, ""Location"" text, ""Enrollment"" real, ""Founded"" real, ""Denomination"" text, ""Boys_or_Girls"" text, ""Day_or_Boarding"" text, ""Year_Entered_Competition"" real, ""School_Colors"" text, PRIMARY KEY (""School_Id"") )', 'CREATE TABLE ""school_details"" ( ""School_ID"" int, ""Nickname"" text, ""Colors"" text, ""League"" text, ""Class"" text, ""Division"" text, PRIMARY KEY (""School_Id""), FOREIGN KEY (`School_ID`) REFERENCES `school`(`School_ID`) )', 'CREATE TABLE ""school_performance"" ( ""School_Id"" int, ""School_Year"" text, ""Class_A"" text, ""Class_AA"" text, PRIMARY KEY (""School_Id"",""School_Year""), FOREIGN KEY (`School_ID`) REFERENCES `school`(`School_ID`) )', 'CREATE TABLE ""player"" ( ""Player_ID"" int, ""Player"" text, ""Team"" text, ""Age"" int, ""Position"" text, ""School_ID"" int, PRIMARY KEY (""Player_ID""), FOREIGN KEY (`School_ID`) REFERENCES `school`(`School_ID`) )']"
4048,student_1,SELECT DISTINCT T2.firstname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE grade  =  1,Find the first names of the teachers that teach first grade.,"['SELECT' 'DISTINCT' 'T2.firstname' 'FROM' 'list' 'AS' 'T1' 'JOIN'
 'teachers' 'AS' 'T2' 'ON' 'T1.classroom' '=' 'T2.classroom' 'WHERE'
 'grade' '=' '1']","['select' 'distinct' 't2' '.' 'firstname' 'from' 'list' 'as' 't1' 'join'
 'teachers' 'as' 't2' 'on' 't1' '.' 'classroom' '=' 't2' '.' 'classroom'
 'where' 'grade' '=' 'value']","['Find' 'the' 'first' 'names' 'of' 'the' 'teachers' 'that' 'teach' 'first'
 'grade' '.']","['CREATE TABLE ""list"" ( \t""LastName"" TEXT, \t""FirstName"" TEXT, \t""Grade"" INTEGER, \t""Classroom"" INTEGER,\tPRIMARY KEY(LastName, FirstName));', 'CREATE TABLE ""teachers"" ( \t""LastName"" TEXT, \t""FirstName"" TEXT, \t""Classroom"" INTEGER,\tPRIMARY KEY(LastName, FirstName));']"
2304,perpetrator,SELECT Date FROM perpetrator ORDER BY Killed DESC,List the date of perpetrators in descending order of the number of people killed.,['SELECT' 'Date' 'FROM' 'perpetrator' 'ORDER' 'BY' 'Killed' 'DESC'],['select' 'date' 'from' 'perpetrator' 'order' 'by' 'killed' 'desc'],"['List' 'the' 'date' 'of' 'perpetrators' 'in' 'descending' 'order' 'of'
 'the' 'number' 'of' 'people' 'killed' '.']","['CREATE TABLE ""perpetrator"" ( ""Perpetrator_ID"" int, ""People_ID"" int, ""Date"" text, ""Year"" real, ""Location"" text, ""Country"" text, ""Killed"" int, ""Injured"" int, PRIMARY KEY (""Perpetrator_ID""), FOREIGN KEY (""People_ID"") REFERENCES ""people""(""People_ID"") )', 'CREATE TABLE ""people"" ( ""People_ID"" int, ""Name"" text, ""Height"" real, ""Weight"" real, ""Home Town"" text, PRIMARY KEY (""People_ID"") )']"
5016,soccer_2,SELECT T1.cName FROM  tryout AS T1 JOIN player AS T2 ON T1.pID  =  T2.pID WHERE T2.pName LIKE 'D%',Which colleges do the tryout players whose name starts with letter D go to?,"['SELECT' 'T1.cName' 'FROM' 'tryout' 'AS' 'T1' 'JOIN' 'player' 'AS' 'T2'
 'ON' 'T1.pID' '=' 'T2.pID' 'WHERE' 'T2.pName' 'LIKE' ""'D"" '%' ""'""]","['select' 't1' '.' 'cname' 'from' 'tryout' 'as' 't1' 'join' 'player' 'as'
 't2' 'on' 't1' '.' 'pid' '=' 't2' '.' 'pid' 'where' 't2' '.' 'pname'
 'like' 'value']","['Which' 'colleges' 'do' 'the' 'tryout' 'players' 'whose' 'name' 'starts'
 'with' 'letter' 'D' 'go' 'to' '?']","['CREATE TABLE College ( cName varchar(20) NOT NULL, state varchar(2), enr numeric(5,0), PRIMARY KEY (cName) )', 'CREATE TABLE Player ( pID numeric(5,0) NOT NULL, pName varchar(20), yCard varchar(3), HS numeric(5,0), PRIMARY KEY (pID) )', 'CREATE TABLE Tryout ( pID numeric(5,0), cName varchar(20), pPos varchar(8), decision varchar(3), PRIMARY KEY (pID, cName), FOREIGN KEY (pID) REFERENCES Player(pID), FOREIGN KEY (cName) REFERENCES College(cName) )']"
1891,school_finance,"SELECT avg(enrollment) ,  max(enrollment) ,  min(enrollment) FROM school","Show the average, maximum, minimum enrollment of all schools.","['SELECT' 'avg' '(' 'enrollment' ')' ',' 'max' '(' 'enrollment' ')' ','
 'min' '(' 'enrollment' ')' 'FROM' 'school']","['select' 'avg' '(' 'enrollment' ')' ',' 'max' '(' 'enrollment' ')' ','
 'min' '(' 'enrollment' ')' 'from' 'school']","['Show' 'the' 'average' ',' 'maximum' ',' 'minimum' 'enrollment' 'of'
 'all' 'schools' '.']","['CREATE TABLE ""School"" ( ""School_id"" text, ""School_name"" text, ""Location"" text, ""Mascot"" text, ""Enrollment"" int, ""IHSAA_Class"" text, ""IHSAA_Football_Class"" text, ""County"" text, PRIMARY KEY (""School_id"") )', 'CREATE TABLE ""budget"" ( ""School_id"" int, ""Year"" int, ""Budgeted"" int, ""total_budget_percent_budgeted"" real, ""Invested"" int, ""total_budget_percent_invested"" real, ""Budget_invested_percent"" text, PRIMARY KEY(""School_id"",""YEAR""), FOREIGN KEY(""School_id"") REFERENCES ""School""(""School_id"") )', 'CREATE TABLE ""endowment"" ( ""endowment_id"" int, ""School_id"" int, ""donator_name"" text, ""amount"" real, PRIMARY KEY(""endowment_id""), FOREIGN KEY(""School_id"") REFERENCES ""School""(""School_id"") )']"
3979,hospital_1,"SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",What are the names of procedures physician John Wen was trained in?,"['SELECT' 'T3.name' 'FROM' 'physician' 'AS' 'T1' 'JOIN' 'trained_in' 'AS'
 'T2' 'ON' 'T1.employeeid' '=' 'T2.physician' 'JOIN' 'procedures' 'AS'
 'T3' 'ON' 'T3.code' '=' 'T2.treatment' 'WHERE' 'T1.name' '=' '``' 'John'
 'Wen' ""''""]","['select' 't3' '.' 'name' 'from' 'physician' 'as' 't1' 'join' 'trained_in'
 'as' 't2' 'on' 't1' '.' 'employeeid' '=' 't2' '.' 'physician' 'join'
 'procedures' 'as' 't3' 'on' 't3' '.' 'code' '=' 't2' '.' 'treatment'
 'where' 't1' '.' 'name' '=' 'value']","['What' 'are' 'the' 'names' 'of' 'procedures' 'physician' 'John' 'Wen'
 'was' 'trained' 'in' '?']","['CREATE TABLE Physician ( EmployeeID INTEGER NOT NULL, Name VARCHAR(30) NOT NULL, Position VARCHAR(30) NOT NULL, SSN INTEGER NOT NULL, CONSTRAINT pk_physician PRIMARY KEY(EmployeeID) )', 'CREATE TABLE Department ( DepartmentID INTEGER NOT NULL, Name VARCHAR(30) NOT NULL, Head INTEGER NOT NULL, CONSTRAINT pk_Department PRIMARY KEY(DepartmentID), CONSTRAINT fk_Department_Physician_EmployeeID FOREIGN KEY(Head) REFERENCES Physician(EmployeeID) )', 'CREATE TABLE Affiliated_With ( Physician INTEGER NOT NULL, Department INTEGER NOT NULL, PrimaryAffiliation BOOLEAN NOT NULL, CONSTRAINT fk_Affiliated_With_Physician_EmployeeID FOREIGN KEY(Physician) REFERENCES Physician(EmployeeID), CONSTRAINT fk_Affiliated_With_Department_DepartmentID FOREIGN KEY(Department) REFERENCES Department(DepartmentID), PRIMARY KEY(Physician, Department) )', 'CREATE TABLE Procedures ( Code INTEGER PRIMARY KEY NOT NULL, Name VARCHAR(30) NOT NULL, Cost REAL NOT NULL )', 'CREATE TABLE Trained_In ( Physician INTEGER NOT NULL, Treatment INTEGER NOT NULL, CertificationDate DATETIME NOT NULL, CertificationExpires DATETIME NOT NULL, CONSTRAINT fk_Trained_In_Physician_EmployeeID FOREIGN KEY(Physician) REFERENCES Physician(EmployeeID), CONSTRAINT fk_Trained_In_Procedures_Code FOREIGN KEY(Treatment) REFERENCES Procedures(Code), PRIMARY KEY(Physician, Treatment) )', 'CREATE TABLE Patient ( SSN INTEGER PRIMARY KEY NOT NULL, Name VARCHAR(30) NOT NULL, Address VARCHAR(30) NOT NULL, Phone VARCHAR(30) NOT NULL, InsuranceID INTEGER NOT NULL, PCP INTEGER NOT NULL, CONSTRAINT fk_Patient_Physician_EmployeeID FOREIGN KEY(PCP) REFERENCES Physician(EmployeeID) )', 'CREATE TABLE Nurse ( EmployeeID INTEGER PRIMARY KEY NOT NULL, Name VARCHAR(30) NOT NULL, Position VARCHAR(30) NOT NULL, Registered BOOLEAN NOT NULL, SSN INTEGER NOT NULL )', 'CREATE TABLE Appointment ( AppointmentID INTEGER PRIMARY KEY NOT NULL, Patient INTEGER NOT NULL, PrepNurse INTEGER, Physician INTEGER NOT NULL, Start DATETIME NOT NULL, End DATETIME NOT NULL, ExaminationRoom TEXT NOT NULL, CONSTRAINT fk_Appointment_Patient_SSN FOREIGN KEY(Patient) REFERENCES Patient(SSN), CONSTRAINT fk_Appointment_Nurse_EmployeeID FOREIGN KEY(PrepNurse) REFERENCES Nurse(EmployeeID), CONSTRAINT fk_Appointment_Physician_EmployeeID FOREIGN KEY(Physician) REFERENCES Physician(EmployeeID) )', 'CREATE TABLE Medication ( Code INTEGER PRIMARY KEY NOT NULL, Name VARCHAR(30) NOT NULL, Brand VARCHAR(30) NOT NULL, Description VARCHAR(30) NOT NULL )', 'CREATE TABLE Prescribes ( Physician INTEGER NOT NULL, Patient INTEGER NOT NULL, Medication INTEGER NOT NULL, Date DATETIME NOT NULL, Appointment INTEGER, Dose VARCHAR(30) NOT NULL, PRIMARY KEY(Physician, Patient, Medication, Date), CONSTRAINT fk_Prescribes_Physician_EmployeeID FOREIGN KEY(Physician) REFERENCES Physician(EmployeeID), CONSTRAINT fk_Prescribes_Patient_SSN FOREIGN KEY(Patient) REFERENCES Patient(SSN), CONSTRAINT fk_Prescribes_Medication_Code FOREIGN KEY(Medication) REFERENCES Medication(Code), CONSTRAINT fk_Prescribes_Appointment_AppointmentID FOREIGN KEY(Appointment) REFERENCES Appointment(AppointmentID) )', 'CREATE TABLE Block ( BlockFloor INTEGER NOT NULL, BlockCode INTEGER NOT NULL, PRIMARY KEY(BlockFloor, BlockCode) )', 'CREATE TABLE Room ( RoomNumber INTEGER PRIMARY KEY NOT NULL, RoomType VARCHAR(30) NOT NULL, BlockFloor INTEGER NOT NULL, BlockCode INTEGER NOT NULL, Unavailable BOOLEAN NOT NULL, CONSTRAINT fk_Room_Block_PK FOREIGN KEY(BlockFloor, BlockCode) REFERENCES Block(BlockFloor, BlockCode) )', 'CREATE TABLE On_Call ( Nurse INTEGER NOT NULL, BlockFloor INTEGER NOT NULL, BlockCode INTEGER NOT NULL, OnCallStart DATETIME NOT NULL, OnCallEnd DATETIME NOT NULL, PRIMARY KEY(Nurse, BlockFloor, BlockCode, OnCallStart, OnCallEnd), CONSTRAINT fk_OnCall_Nurse_EmployeeID FOREIGN KEY(Nurse) REFERENCES Nurse(EmployeeID), CONSTRAINT fk_OnCall_Block_Floor FOREIGN KEY(BlockFloor, BlockCode) REFERENCES Block(BlockFloor, BlockCode) )', 'CREATE TABLE Stay ( StayID INTEGER PRIMARY KEY NOT NULL, Patient INTEGER NOT NULL, Room INTEGER NOT NULL, StayStart DATETIME NOT NULL, StayEnd DATETIME NOT NULL, CONSTRAINT fk_Stay_Patient_SSN FOREIGN KEY(Patient) REFERENCES Patient(SSN), CONSTRAINT fk_Stay_Room_Number FOREIGN KEY(Room) REFERENCES Room(RoomNumber) )', 'CREATE TABLE Undergoes ( Patient INTEGER NOT NULL, Procedures INTEGER NOT NULL, Stay INTEGER NOT NULL, DateUndergoes DATETIME NOT NULL, Physician INTEGER NOT NULL, AssistingNurse INTEGER, PRIMARY KEY(Patient, Procedures, Stay, DateUndergoes), CONSTRAINT fk_Undergoes_Patient_SSN FOREIGN KEY(Patient) REFERENCES Patient(SSN), CONSTRAINT fk_Undergoes_Procedures_Code FOREIGN KEY(Procedures) REFERENCES Procedures(Code), CONSTRAINT fk_Undergoes_Stay_StayID FOREIGN KEY(Stay) REFERENCES Stay(StayID), CONSTRAINT fk_Undergoes_Physician_EmployeeID FOREIGN KEY(Physician) REFERENCES Physician(EmployeeID), CONSTRAINT fk_Undergoes_Nurse_EmployeeID FOREIGN KEY(AssistingNurse) REFERENCES Nurse(EmployeeID) )']"
6959,architecture,"SELECT TYPE ,  count(*) FROM mill GROUP BY TYPE ORDER BY count(*) DESC LIMIT 1","What is the most common mill type, and how many are there?","['SELECT' 'TYPE' ',' 'count' '(' '*' ')' 'FROM' 'mill' 'GROUP' 'BY' 'TYPE'
 'ORDER' 'BY' 'count' '(' '*' ')' 'DESC' 'LIMIT' '1']","['select' 'type' ',' 'count' '(' '*' ')' 'from' 'mill' 'group' 'by' 'type'
 'order' 'by' 'count' '(' '*' ')' 'desc' 'limit' 'value']","['What' 'is' 'the' 'most' 'common' 'mill' 'type' ',' 'and' 'how' 'many'
 'are' 'there' '?']","['CREATE TABLE ""architect"" ( ""id"" text, ""name"" text, ""nationality"" text, ""gender"" text, primary key(""id"") )', 'CREATE TABLE ""bridge"" ( ""architect_id"" int, ""id"" int, ""name"" text, ""location"" text, ""length_meters"" real, ""length_feet"" real, primary key(""id""), foreign key (""architect_id"" ) references `architect`(""id"") )', 'CREATE TABLE ""mill"" ( ""architect_id"" int, ""id"" int, ""location"" text, ""name"" text, ""type"" text, ""built_year"" int, ""notes"" text, primary key (""id""), foreign key (""architect_id"" ) references `architect`(""id"") )']"
1760,gymnast,"SELECT T2.Hometown ,  COUNT(*) FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID GROUP BY T2.Hometown",What are the hometowns of gymnasts and the corresponding number of gymnasts?,"['SELECT' 'T2.Hometown' ',' 'COUNT' '(' '*' ')' 'FROM' 'gymnast' 'AS' 'T1'
 'JOIN' 'people' 'AS' 'T2' 'ON' 'T1.Gymnast_ID' '=' 'T2.People_ID' 'GROUP'
 'BY' 'T2.Hometown']","['select' 't2' '.' 'hometown' ',' 'count' '(' '*' ')' 'from' 'gymnast'
 'as' 't1' 'join' 'people' 'as' 't2' 'on' 't1' '.' 'gymnast_id' '=' 't2'
 '.' 'people_id' 'group' 'by' 't2' '.' 'hometown']","['What' 'are' 'the' 'hometowns' 'of' 'gymnasts' 'and' 'the'
 'corresponding' 'number' 'of' 'gymnasts' '?']","['CREATE TABLE ""gymnast"" ( ""Gymnast_ID"" int, ""Floor_Exercise_Points"" real, ""Pommel_Horse_Points"" real, ""Rings_Points"" real, ""Vault_Points"" real, ""Parallel_Bars_Points"" real, ""Horizontal_Bar_Points"" real, ""Total_Points"" real, PRIMARY KEY (""Gymnast_ID""), FOREIGN KEY (""Gymnast_ID"") REFERENCES ""people""(""People_ID"") )', 'CREATE TABLE ""people"" ( ""People_ID"" int, ""Name"" text, ""Age"" real, ""Height"" real, ""Hometown"" text, PRIMARY KEY (""People_ID"") )']"
6408,cre_Docs_and_Epenses,"SELECT count(*) ,  project_id FROM Documents WHERE document_type_code  =  ""BK"" GROUP BY project_id",Count the number of documents with the type code BK that correspond to each product id.,"['SELECT' 'count' '(' '*' ')' ',' 'project_id' 'FROM' 'Documents' 'WHERE'
 'document_type_code' '=' '``' 'BK' ""''"" 'GROUP' 'BY' 'project_id']","['select' 'count' '(' '*' ')' ',' 'project_id' 'from' 'documents' 'where'
 'document_type_code' '=' 'value' 'group' 'by' 'project_id']","['Count' 'the' 'number' 'of' 'documents' 'with' 'the' 'type' 'code' 'BK'
 'that' 'correspond' 'to' 'each' 'product' 'id' '.']","['CREATE TABLE Ref_Document_Types ( Document_Type_Code CHAR(15) NOT NULL, Document_Type_Name VARCHAR(255) NOT NULL, Document_Type_Description VARCHAR(255) NOT NULL, PRIMARY KEY (Document_Type_Code) )', 'CREATE TABLE Ref_Budget_Codes ( Budget_Type_Code CHAR(15) NOT NULL, Budget_Type_Description VARCHAR(255) NOT NULL, PRIMARY KEY (Budget_Type_Code) )', 'CREATE TABLE Projects ( Project_ID INTEGER NOT NULL, Project_Details VARCHAR(255), PRIMARY KEY (Project_ID) )', 'CREATE TABLE Documents ( Document_ID INTEGER NOT NULL, Document_Type_Code CHAR(15) NOT NULL, Project_ID INTEGER NOT NULL, Document_Date DATETIME, Document_Name VARCHAR(255), Document_Description VARCHAR(255), Other_Details VARCHAR(255), PRIMARY KEY (Document_ID), FOREIGN KEY (Document_Type_Code) REFERENCES Ref_Document_Types (Document_Type_Code), FOREIGN KEY (Project_ID) REFERENCES Projects (Project_ID) )', 'CREATE TABLE Statements ( Statement_ID INTEGER NOT NULL, Statement_Details VARCHAR(255), PRIMARY KEY (Statement_ID), FOREIGN KEY (Statement_ID) REFERENCES Documents (Document_ID) )', 'CREATE TABLE Documents_with_Expenses ( Document_ID INTEGER NOT NULL, Budget_Type_Code CHAR(15) NOT NULL, Document_Details VARCHAR(255), PRIMARY KEY (Document_ID), FOREIGN KEY (Budget_Type_Code) REFERENCES Ref_Budget_Codes (Budget_Type_Code), FOREIGN KEY (Document_ID) REFERENCES Documents (Document_ID) )', 'CREATE TABLE Accounts ( Account_ID INTEGER NOT NULL, Statement_ID INTEGER NOT NULL, Account_Details VARCHAR(255), PRIMARY KEY (Account_ID), FOREIGN KEY (Statement_ID) REFERENCES Statements (Statement_ID) )']"
2425,candidate_poll,"SELECT count(*) ,  sex FROM people WHERE weight  >  85 GROUP BY sex",Count the number of people of each sex who have a weight higher than 85.,"['SELECT' 'count' '(' '*' ')' ',' 'sex' 'FROM' 'people' 'WHERE' 'weight'
 '>' '85' 'GROUP' 'BY' 'sex']","['select' 'count' '(' '*' ')' ',' 'sex' 'from' 'people' 'where' 'weight'
 '>' 'value' 'group' 'by' 'sex']","['Count' 'the' 'number' 'of' 'people' 'of' 'each' 'sex' 'who' 'have' 'a'
 'weight' 'higher' 'than' '85' '.']","['CREATE TABLE ""candidate"" ( ""Candidate_ID"" int, ""People_ID"" int, ""Poll_Source"" text, ""Date"" text, ""Support_rate"" real, ""Consider_rate"" real, ""Oppose_rate"" real, ""Unsure_rate"" real, PRIMARY KEY (""Candidate_ID""), FOREIGN KEY (""People_ID"") REFERENCES ""people""(""People_ID"") )', 'CREATE TABLE ""people"" ( ""People_ID"" int, ""Sex"" text, ""Name"" text, ""Date_of_Birth"" text, ""Height"" real, ""Weight"" real, PRIMARY KEY (""People_ID"") )']"
